RANK,NAME,id joueur,date of birth,country,continent,place of birth,LAT PLAYER,LONG PLAYER,image,TEAM,logo image,headquarters location,LAT TEAM,LONG TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
318,Justise Winslow,Justise Winslow,1996-03-26T00:00:00Z,United States of America,North America,Houston,29.762777777778,-95.383055555556,Justise Winslow - 51849059765 (cropped).jpg,Portland Trail Blazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png,Portland,45.516666666667,-122.66666666667,forward,27,29,26.8,14.2,17.8,28,0.714,153,0.438,45,0.311,0.444,0.466,6.8,5,3.4,1,0.4,1.5,11.8,10.1,15.1,7.3,104.3,109.4
319,Terence Davis,Terence Davis,1997-05-16T00:00:00Z,United States of America,North America,Mississippi,33,-90,Terence Davis.jpg,Sacramento Kings,https://upload.wikimedia.org/wikipedia/fr/thumb/9/95/Kings_de_Sacramento_logo.svg/1200px-Kings_de_Sacramento_logo.svg.png,Sacramento,38.575277777778,-121.48611111111,guard,25.9,64,13.1,22.2,12.7,43,0.791,121,0.537,243,0.366,0.545,0.563,6.7,2.2,1,0.7,0.2,0.8,8.9,7.8,10,7.5,105.8,104.7
320,Anthony Lamb,Anthony Lamb,1998-01-20T00:00:00Z,United States of America,North America,Rochester,43.165555555556,-77.611388888889,Anthony Lamb.jpg,Golden State Warriors,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/1200px-Golden_State_Warriors_logo.svg.png,San Francisco,37.7775,-122.41638888888889,forward,25.2,62,19.2,13.9,14.7,60,0.767,115,0.652,199,0.367,0.588,0.61,6.7,3.5,1.5,0.5,0.3,0.9,10.2,8.2,11.7,6.8,119.1,107.2
321,Isaiah Livers,Isaiah Livers,1998-07-28T00:00:00Z,United States of America,North America,Kalamazoo,42.29,-85.59,Isaiah Livers (cropped).jpg,Detroit Pistons,https://upload.wikimedia.org/wikipedia/commons/3/39/Logo_of_the_Detroit_Pistons.png,Detroit,42.331666666667,-83.0475,forward,24.7,52,23.1,11.9,9.4,39,0.821,85,0.541,203,0.365,0.545,0.567,6.7,2.8,0.8,0.5,0.5,0.6,9.4,7.4,10.2,4.3,112.8,114.4
322,Théo Maledon,Théo Maledon,2001-06-12T00:00:00Z,France,Europe,Rouen,49.443055555556,1.1025,Theo Maledon.jpg,Charlotte Hornets,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Charlotte_Hornets_%282014%29.svg/800px-Charlotte_Hornets_%282014%29.svg.png,Charlotte,35.226944444444,-80.843333333333,guard,21.8,44,19.4,17,18.8,74,0.851,159,0.465,95,0.295,0.457,0.515,6.7,2.8,3.5,0.8,0.3,1.3,9.5,10.2,13,8.3,105.4,111.1
323,Jalen McDaniels,Jalen McDaniels,1998-01-31T00:00:00Z,United States of America,North America,King County,47.47,-121.84,Jalen McDaniels.jpg,Philadelphia 76ers,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/1200px-Philadelphia_76ers_logo.svg.png,Philadelphia,39.952777777778,-75.163611111111,forward,25.2,24,17.5,16.1,9.5,34,0.824,93,0.516,30,0.4,0.537,0.58,6.7,3.2,0.8,0.7,0.2,0.5,9.8,7.5,10.6,5.9,117.8,102.9
324,Kendrick Nunn,Kendrick Nunn,1995-08-03T00:00:00Z,United States of America,North America,Chicago,41.85003,-87.65005,1 kendrick nunn.jpg,Los Angeles Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1200px-Los_Angeles_Lakers_logo.svg.png,Los Angeles,34.05223,-118.24368,guard,27.7,39,13.5,23.4,11,21,0.81,125,0.488,126,0.325,0.488,0.503,6.7,1.4,0.9,0.3,0.1,0.8,8.1,7.6,9,6,95.5,111.2
325,Dwight Powell,Dwight Powell,1991-07-20T00:00:00Z,Canada,North America,Toronto,43.670277777778,-79.386666666667,2023-08-09 Deutschland gegen Kanada (Basketball-Länderspiel) by Sandro Halank–102.jpg,Dallas Mavericks,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/1200px-Dallas_Mavericks_logo.svg.png,Dallas,32.779166666667,-96.808888888889,forward,31.7,76,19.2,12.6,19.4,168,0.667,264,0.746,5,0,0.732,0.738,6.7,4.1,0.9,0.6,0.3,0.9,10.8,7.6,11.7,6.1,142.5,104.2
326,David Roddy,David Roddy,2001-03-27T00:00:00Z,United States of America,North America,Minneapolis,44.981944444444444,-93.26916666666666,David Roddy (7023702) (cropped).jpg,Memphis Grizzlies,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,Memphis,35.1175,-89.971111111111,forward,22,70,18,16.7,11.9,65,0.631,208,0.553,212,0.307,0.506,0.519,6.7,2.8,0.8,0.4,0.3,0.8,9.4,7.5,10.3,5.5,103,107.7
327,Drew Eubanks,Drew Eubanks,1997-02-01T00:00:00Z,United States of America,North America,Starkville,33.46222,-88.81972,"Drew Eubanks on May 15,2015.jpg",Portland Trail Blazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png,Portland,45.516666666667,-122.66666666667,forward,26.2,78,20.3,12.5,16.7,125,0.664,316,0.655,18,0.389,0.651,0.666,6.6,5.4,1.3,0.5,1.3,0.9,12,8,13.3,7.1,130.8,109.4
328,Jordan Goodwin,Jordan Goodwin,1998-10-23T00:00:00Z,United States of America,North America,Centreville,38.5844,-90.1039,20150321 IHSA Class 3A championship game Jordan Goodwin (1) cropped.jpg,Washington Wizards,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/1200px-Washington_Wizards_logo.svg.png,"Washington, D.C.",38.895,-77.036666666667,guard,24.5,62,17.8,17.3,13.9,69,0.768,235,0.511,118,0.322,0.501,0.531,6.6,3.3,2.7,0.9,0.4,0.9,9.9,9.3,12.6,8.7,113.9,108.5
329,Jock Landale,Jock Landale,1995-10-25T00:00:00Z,Australia,Oceania,Melbourne,-37.814166666666665,144.96305555555554,Jock Landale.jpg,Phoenix Suns,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,Phoenix,33.44833333333333,-112.07388888888889,center,27.5,69,14.2,19.3,14.9,105,0.752,253,0.621,84,0.25,0.559,0.595,6.6,4.1,1,0.2,0.4,0.9,10.7,7.6,11.7,8.5,119.7,103.1
330,Nassir Little,Nassir Little,2000-02-11T00:00:00Z,United States of America,North America,Pensacola,30.421388888888888,-87.21722222222222,Nassir Little dunks the ball.jpg,Portland Trail Blazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png,Portland,45.516666666667,-122.66666666667,forward,23.2,54,18.1,16,10.6,46,0.717,145,0.524,158,0.367,0.538,0.555,6.6,2.6,0.9,0.4,0.4,0.7,9.3,7.6,10.2,5.5,108.8,115.9
331,BJ Boston,Brandon Boston,2001-11-28T00:00:00Z,United States of America,North America,Norcross,33.9412127,-84.2135309,Brandon Boston - 51847435907 (cropped).jpg,Los Angeles Clippers,https://a.espncdn.com/i/teamlogos/nba/500-dark/lac.png,Los Angeles,34.05223,-118.24368,guard,21.4,22,11.3,26.5,8.9,38,0.763,93,0.419,29,0.414,0.467,0.515,6.5,1.4,0.9,0.4,0,0.5,7.9,7.4,8.8,7.1,105.7,109.6
332,Goran Dragić,Goran Dragić,1986-05-06T00:00:00Z,Slovenia,Europe,Ljubljana,46.05138888888889,14.50611111111111,EuroBasket 2017 Finland vs Slovenia 37 (Goran Dragić cropped).jpg,Chicago Bulls,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/1200px-Chicago_Bulls_logo.svg.png,Chicago,41.85003,-87.65005,guard,36.9,50,15.6,21,15.6,41,0.659,170,0.482,128,0.352,0.502,0.516,6.5,1.4,2.8,0.2,0.1,1.1,7.9,9.3,10.7,7.5,103.9,110.2
333,Luka Garza,Luka Garza,1998-12-27T00:00:00Z,United States of America,North America,"Washington, D.C.",38.895,-77.036666666667,Luka Garza.jpg,Minnesota Timberwolves,https://upload.wikimedia.org/wikipedia/fr/d/d9/Timberwolves_du_Minnesota_logo_2017.png,Minneapolis,44.981944444444444,-93.26916666666666,center,24.3,28,8.7,26.9,10.7,52,0.788,77,0.636,39,0.359,0.603,0.652,6.5,2.3,0.6,0.1,0.1,0.5,8.7,7.1,9.4,9.6,130.8,100.7
334,Danny Green,Danny Green,1987-06-22T00:00:00Z,United States of America,North America,Long Island,40.805805,-73.253616,1 danny green toronto raptors 2019 (cropped).jpg,Cleveland Cavaliers,https://upload.wikimedia.org/wikipedia/fr/0/06/Cavs_de_Cleveland_logo_2017.png,Cleveland,41.482222222222,-81.669722222222,guard,35.8,8,11.9,21.4,15.4,1,1,9,0.667,29,0.448,0.671,0.676,6.5,1.3,0.5,0.6,0.4,0.9,7.8,7,8.3,5.4,111.6,102.6
335,Cody Zeller,Cody Zeller,1992-10-05T00:00:00Z,United States of America,North America,Washington,38.6583,-87.175,Cody Zeller (cropped).jpg,Miami Heat,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,Miami,25.783333333333,-80.216666666667,forward,30.5,15,14.4,18.1,19.1,35,0.686,57,0.649,2,0,0.627,0.659,6.5,4.3,0.7,0.2,0.3,0.9,10.8,7.2,11.5,7.5,124.7,99.1
336,Jay Scrubb,Jay Scrubb,2000-09-01T00:00:00Z,United States of America,North America,Louisville,38.25611111111111,-85.75138888888888,Jay Scrubb - 51848728899 (cropped).jpg,Orlando Magic,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png,Orlando,28.533611111111,-81.386666666667,guard,22.6,2,15.1,15.5,29.4,2,0.5,5,0.6,2,1,0.857,0.825,6.5,3,0.5,1,0.5,1.5,9.5,7,10,5.7,107.6,106.3
337,Patrick Beverley,Patrick Beverley,1988-07-12T00:00:00Z,United States of America,North America,Chicago,41.85003,-87.65005,Patrick Beverley 21 (cropped).jpg,Los Angeles Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1200px-Los_Angeles_Lakers_logo.svg.png,Los Angeles,34.05223,-118.24368,guard,34.7,45,26.9,10.6,14.8,50,0.78,83,0.506,158,0.348,0.517,0.548,6.4,3.1,2.6,0.9,0.6,0.9,9.5,9,12.1,5.5,112.6,106.8
338,JaMychal Green,JaMychal Green,1990-06-21T00:00:00Z,United States of America,North America,Montgomery,32.361666666667,-86.279166666667,JaMychal Green vs. Creighton (cropped).jpg,Golden State Warriors,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/1200px-Golden_State_Warriors_logo.svg.png,San Francisco,37.7775,-122.41638888888889,forward,32.8,57,14,17.5,17.1,67,0.776,141,0.667,111,0.378,0.623,0.65,6.4,3.6,0.9,0.4,0.4,0.9,10,7.3,10.9,7.8,121.3,103.5
339,Sam Hauser,Sam Hauser,1997-12-08T00:00:00Z,United States of America,North America,Green Bay,44.513333333333,-88.015833333333,Sam Hauser 2022.png,Boston Celtics,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/1200px-Boston_Celtics.svg.png,Boston,42.360277777777775,-71.05777777777777,forward,25.3,80,16.1,14.7,7,17,0.706,61,0.656,335,0.418,0.631,0.634,6.4,2.6,0.9,0.4,0.3,0.4,9,7.3,9.8,6.1,123.9,107.2
340,Isaac Okoro,Isaac Okoro,2001-01-26T00:00:00Z,United States of America,North America,Atlanta,33.756944444444,-84.390277777778,Isaac Okoro (51175618087) (cropped).jpg,Cleveland Cavaliers,https://upload.wikimedia.org/wikipedia/fr/0/06/Cavs_de_Cleveland_logo_2017.png,Cleveland,41.482222222222,-81.669722222222,forward,22.2,76,21.7,11.9,10.6,103,0.757,183,0.617,171,0.363,0.582,0.614,6.4,2.5,1.1,0.7,0.4,0.6,8.9,7.6,10.1,4.8,123.7,104.9
341,Duncan Robinson,Duncan Robinson,1994-04-22T00:00:00Z,United States of America,North America,York,43.163333333333,-70.648611111111,Heat Duncan Robinson (cropped).jpg,Miami Heat,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,Miami,25.783333333333,-80.216666666667,forward,29,42,16.5,17.9,10.6,32,0.906,45,0.556,192,0.328,0.504,0.534,6.4,1.6,1.1,0.3,0,0.7,8,7.5,9.1,5.4,105,105.8
342,Nickeil Alexander-Walker,Nickeil Alexander-Walker,1998-09-02T00:00:00Z,Canada,North America,Toronto,43.670277777778,-79.386666666667,2023-08-09 Deutschland gegen Kanada (Basketball-Länderspiel) by Sandro Halank–034.jpg,Utah Jazz,https://logodownload.org/wp-content/uploads/2021/07/utah-jazz-logo-0.png,Salt Lake City,40.75,-111.88333333333,guard,24.6,36,14.7,18.4,20.9,39,0.692,83,0.578,87,0.402,0.591,0.609,6.3,1.6,2.1,0.7,0.4,1.3,8,8.4,10.1,7.5,111.2,108.5
343,Simone Fontecchio,Simone Fontecchio,1995-12-09T00:00:00Z,Italy,Europe,Pescara,42.464277777778,14.214188888889,"2021-06-01 ALBA Berlin gegen ratiopharm Ulm (Play-off-Halbfinale 3, Basketball-Bundesliga 2020-21) by Sandro Halank–140.jpg",Utah Jazz,https://logodownload.org/wp-content/uploads/2021/07/utah-jazz-logo-0.png,Salt Lake City,40.75,-111.88333333333,forward,27.3,52,14.7,20.2,11.1,44,0.795,121,0.43,191,0.33,0.47,0.495,6.3,1.7,0.8,0.3,0.2,0.8,8,7.1,8.8,5.6,100.8,113.9
344,Saben Lee,Saben Lee,1999-06-23T00:00:00Z,United States of America,North America,Phoenix,33.44833333333333,-112.07388888888889,Saben Lee (cropped).jpg,Phoenix Suns,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,Phoenix,33.44833333333333,-112.07388888888889,guard,23.8,23,15.8,19.1,15.2,57,0.737,88,0.398,29,0.379,0.44,0.51,6.3,2,2.8,0.8,0,0.9,8.3,9.1,11.1,8.3,112.3,108.4
345,Jared Butler,Jared Butler,1999-01-01T00:00:00Z,United States of America,North America,Reserve,30.0625,-90.5533,Jared Butler (cropped).jpg,Oklahoma City Thunder,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/1200px-Oklahoma_City_Thunder.svg.png,Oklahoma City,35.4823,-97.5352,guard,22.6,6,12.8,20.2,13.5,0,0,18,0.444,14,0.5,0.578,0.578,6.2,0.7,1.3,0.8,0,0.8,6.8,7.5,8.2,5.6,107.7,112.7
346,Quenton Jackson,Quenton Jackson,1998-09-15T00:00:00Z,United States of America,North America,Los Angeles,34.05223,-118.24368,,Washington Wizards,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/1200px-Washington_Wizards_logo.svg.png,"Washington, D.C.",38.895,-77.036666666667,guard,24.6,9,15,18,8.6,22,0.773,30,0.6,12,0.083,0.464,0.542,6.2,0.9,1.7,0.4,0.1,0.4,7.1,7.9,8.8,5.6,116.6,113.8
347,Patrick Mills,Patty Mills,1988-08-11T00:00:00Z,Australia,Oceania,Canberra,-35.293055555556,149.12694444444,Patty Mills 2017.jpg,Brooklyn Nets,https://logodownload.org/wp-content/uploads/2021/04/brooklyn-nets-logo-2.png,Brooklyn,40.692777777778,-73.990277777778,guard,34.7,40,14.2,19.7,12.5,30,0.833,75,0.493,134,0.366,0.529,0.554,6.2,1.1,1.4,0.4,0.1,0.8,7.3,7.6,8.7,6,106.6,115.1
348,Mike Muscala,Mike Muscala,1991-07-01T00:00:00Z,United States of America,North America,St. Louis Park,44.9486,-93.364875,1 mike muscala 2015 (1).jpg,Oklahoma City Thunder,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/1200px-Oklahoma_City_Thunder.svg.png,Oklahoma City,35.4823,-97.5352,forward,31.8,43,14.5,15.7,6.4,39,0.795,61,0.541,142,0.394,0.576,0.602,6.2,3.1,0.9,0.3,0.4,0.3,9.3,7,10.2,7.1,125,105.5
349,Nicolas Batum,Nicolas Batum,1988-12-14T00:00:00Z,France,Europe,Lisieux,49.145555555556,0.22555555555556,Nicolas batum tournoi douai 2007 06 10.JPG,Los Angeles Clippers,https://a.espncdn.com/i/teamlogos/nba/500-dark/lac.png,Los Angeles,34.05223,-118.24368,guard,34.3,78,21.9,11.5,11.6,48,0.708,64,0.563,317,0.391,0.583,0.594,6.1,3.8,1.6,0.7,0.6,0.6,10,7.7,11.5,6.1,120.8,108.2
350,Oshae Brissett,Oshae Brissett,1998-06-20T00:00:00Z,Canada,North America,Toronto,43.670277777778,-79.386666666667,Oshae Brissett (cropped).jpg,Indiana Pacers,https://upload.wikimedia.org/wikipedia/fr/4/48/Pacers_de_l%27Indiana_2017.png,Indianapolis,39.768611111111,-86.158055555556,forward,24.8,65,16.7,16.1,9.4,145,0.717,164,0.457,155,0.31,0.461,0.52,6.1,3.4,0.7,0.5,0.2,0.5,9.5,6.8,10.2,5.8,110.8,114.3
351,Evan Fournier,Evan Fournier,1992-10-29T00:00:00Z,France,Europe,Saint-Maurice,48.818333333333,2.4347222222222,Evan Fournier 1.JPG,New York Knicks,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/New_York_Knicks_logo.svg/1200px-New_York_Knicks_logo.svg.png,New York City,40.7,-74,guard,30.4,27,17,18.4,11.7,21,0.857,52,0.404,114,0.307,0.443,0.471,6.1,1.8,1.3,0.6,0.1,0.8,7.9,7.4,9.3,5.7,98.3,107.5
352,Robert Covington,Robert Covington,1990-12-14T00:00:00Z,United States of America,North America,Bellwood,41.8829,-87.8764,Robert Covington of the Houston Rockets (2013).jpg,Los Angeles Clippers,https://a.espncdn.com/i/teamlogos/nba/500-dark/lac.png,Los Angeles,34.05223,-118.24368,forward,32.3,48,16.2,15.6,12.2,40,0.75,93,0.516,136,0.397,0.563,0.584,6,3.5,1.2,0.8,0.7,0.7,9.5,7.2,10.7,7.2,116.3,103.6
353,Andre Drummond,Andre Drummond,1993-08-10T00:00:00Z,United States of America,North America,Mount Vernon,40.914166666667,-73.830555555556,Andre Drummond (51827246596) (cropped).jpg,Chicago Bulls,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/1200px-Chicago_Bulls_logo.svg.png,Chicago,41.85003,-87.65005,center,29.7,67,12.7,21,21.5,125,0.536,271,0.613,3,0,0.606,0.606,6,6.6,0.5,0.7,0.4,1.1,12.6,6.4,13.1,8.5,115.2,93.2
354,Jordan Nwora,Jordan Nwora,1998-09-09T00:00:00Z,United States of America,North America,Buffalo,42.88638888888889,-78.87805555555556,Jordan Nwora.jpg,Milwaukee Bucks,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Milwaukee_Bucks_logo.svg/1200px-Milwaukee_Bucks_logo.svg.png,Milwaukee,43.05,-87.95,forward,24.6,38,15.7,17.7,14.7,43,0.86,95,0.379,102,0.392,0.487,0.53,6,3.1,1,0.3,0.2,0.9,9.1,7,10.1,6.8,105.8,109.3
355,Nickeil Alexander-Walker,Nickeil Alexander-Walker,1998-09-02T00:00:00Z,Canada,North America,Toronto,43.670277777778,-79.386666666667,2023-08-09 Deutschland gegen Kanada (Basketball-Länderspiel) by Sandro Halank–034.jpg,Minnesota Timberwolves,https://upload.wikimedia.org/wikipedia/fr/d/d9/Timberwolves_du_Minnesota_logo_2017.png,Minneapolis,44.981944444444444,-93.26916666666666,guard,24.6,23,15.5,17.3,7.4,21,0.619,53,0.415,72,0.361,0.488,0.503,5.9,1.8,1.4,0.3,0.3,0.4,7.7,7.3,9.1,6.3,106.4,110.9
356,Stanley Johnson,Stanley Johnson,1996-05-29T00:00:00Z,United States of America,North America,Anaheim,33.836111111111,-117.88972222222,Stanley Johnson (cropped).jpg,San Antonio Spurs,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,San Antonio,29.425,-98.49388888888889,forward,26.9,30,15.6,15.2,21.1,39,0.667,83,0.578,40,0.45,0.61,0.628,5.9,3.2,2.2,0.5,0.2,1.1,9,8.1,11.3,8.9,117.4,112
357,Maximilian Kleber,Maximilian Kleber,1992-01-29T00:00:00Z,Germany,Europe,Würzburg,49.794444444444,9.9294444444444,Maximilian Kleber 2019.jpg,Dallas Mavericks,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/1200px-Dallas_Mavericks_logo.svg.png,Dallas,32.779166666667,-96.808888888889,forward,31.2,37,25.1,10.3,13.8,38,0.711,57,0.667,112,0.348,0.571,0.592,5.9,3.6,1.4,0.3,0.8,0.7,9.6,7.4,11,4.9,118.3,111.2
358,Mike Muscala,Mike Muscala,1991-07-01T00:00:00Z,United States of America,North America,St. Louis Park,44.9486,-93.364875,1 mike muscala 2015 (1).jpg,Boston Celtics,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/1200px-Boston_Celtics.svg.png,Boston,42.360277777777775,-71.05777777777777,forward,31.8,20,16.2,14,9.2,13,0.692,24,0.708,65,0.385,0.612,0.623,5.9,3.4,0.6,0.2,0.3,0.5,9.3,6.5,9.9,5.7,121.7,105.8
359,Jaylin Williams,Jaylin Williams,2000-07-06T00:00:00Z,United States of America,North America,Fort Smith,35.35,-94.366666666667,,Oklahoma City Thunder,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/1200px-Oklahoma_City_Thunder.svg.png,Oklahoma City,35.4823,-97.5352,forward,20.8,49,18.7,13.4,13.7,54,0.704,121,0.463,112,0.411,0.536,0.561,5.9,4.9,1.6,0.6,0.2,0.8,10.8,7.4,12.4,7.7,115.4,102.7
360,Patrick Beverley,Patrick Beverley,1988-07-12T00:00:00Z,United States of America,North America,Chicago,41.85003,-87.65005,Patrick Beverley 21 (cropped).jpg,Chicago Bulls,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/1200px-Chicago_Bulls_logo.svg.png,Chicago,41.85003,-87.65005,guard,34.7,22,27.5,10.5,13.1,15,0.533,38,0.579,81,0.309,0.5,0.506,5.8,4.9,3.5,1,0.7,0.8,10.6,9.2,14.1,6.7,114.3,103.9
361,Goga Bitadze,Goga Bitadze,1999-07-20T00:00:00Z,Georgia,Europe,Tbilisi,41.7225,44.7925,Goga Bitadze (cropped).jpg,Orlando Magic,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png,Orlando,28.533611111111,-81.386666666667,center,23.7,17,15,15.3,12,18,0.667,61,0.656,12,0.167,0.589,0.606,5.8,5.2,1.2,0.4,0.9,0.6,10.9,7,12.2,8.8,130.5,103
362,Josh Christopher,Josh Christopher,2001-12-08T00:00:00Z,United States of America,North America,Carson,33.839722222222,-118.25972222222,Josh Christopher (51761764580) (cropped).jpg,Houston Rockets,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/1200px-Houston_Rockets.svg.png,Houston,29.762777777778,-95.383055555556,guard,21.3,64,12.3,21.9,15.4,60,0.75,240,0.55,89,0.236,0.497,0.523,5.8,1.1,1.1,0.5,0.2,0.9,6.9,7,8.1,6.2,101.9,116
363,Dario Šarić,Dario Šarić,1994-04-08T00:00:00Z,Croatia,Europe,Šibenik,43.733888888889,15.895555555556,"Dario Saric, Austria v Croatia.jpg",Phoenix Suns,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,Phoenix,33.44833333333333,-112.07388888888889,forward,29,37,14.4,18.7,16.8,44,0.818,109,0.45,69,0.391,0.503,0.545,5.8,3.8,1.5,0.4,0.1,1,9.6,7.4,11.2,8.9,110.4,101.7
364,Charles Bassey,Charles Bassey,2000-10-20T00:00:00Z,Nigeria,Africa,Lagos,6.45,3.4,Charles Bassey.png,San Antonio Spurs,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,San Antonio,29.425,-98.49388888888889,center,22.4,35,14.5,15.6,23.3,37,0.595,127,0.661,8,0.375,0.656,0.658,5.7,5.5,1.3,0.5,0.9,1.2,11.2,7,12.5,9.5,120.8,105.3
365,Dewayne Dedmon,Dewayne Dedmon,1989-08-12T00:00:00Z,United States of America,North America,Lancaster,34.686944444444,-118.15416666667,Dewayne Dedmon free throw.jpg,Miami Heat,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,Miami,25.783333333333,-80.216666666667,center,33.7,30,11.7,21.2,12.8,44,0.727,92,0.576,37,0.297,0.539,0.576,5.7,3.6,0.5,0.2,0.5,0.6,9.3,6.2,9.9,7.4,113.5,94.8
366,R.J. Hampton,R. J. Hampton,2001-02-07T00:00:00Z,United States of America,North America,Dallas,32.779166666667,-96.808888888889,RJ Hampton (51819436377) (cropped).jpg,Orlando Magic,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png,Orlando,28.533611111111,-81.386666666667,guard,22.2,26,13.9,18,15.5,37,0.838,61,0.525,53,0.34,0.518,0.572,5.7,1.5,1.3,0.6,0.2,0.8,7.2,7,8.5,6.4,111.4,111.4
367,Jalen Johnson,Jalen Johnson,2001-12-18T00:00:00Z,United States of America,North America,Wausau,44.95,-89.633333333333,JalenJohnsonNicoletHighFeb2019.jpg,Atlanta Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/1200px-Atlanta_Hawks_logo.svg.png,Atlanta,33.756944444444,-84.390277777778,forward,21.3,69,15.1,16,11.3,78,0.628,218,0.587,104,0.288,0.537,0.554,5.7,4.1,1.2,0.6,0.5,0.6,9.8,6.9,11,8,114.2,105.5
368,Rodney McGruder,Rodney McGruder,1991-07-29T00:00:00Z,United States of America,North America,Landover,38.9339,-76.8967,Rodney McGruder 2022.jpg,Detroit Pistons,https://upload.wikimedia.org/wikipedia/commons/3/39/Logo_of_the_Detroit_Pistons.png,Detroit,42.331666666667,-83.0475,guard,31.7,32,16.4,14,6.7,22,0.818,55,0.382,97,0.423,0.543,0.566,5.7,2.3,0.9,0.5,0,0.3,8,6.6,8.9,5.6,119.2,115.1
369,Ziaire Williams,Ziaire Williams,2001-09-12T00:00:00Z,United States of America,North America,Lancaster,34.686944444444,-118.15416666667,Ziaire Williams (51814052094) (cropped).jpg,Memphis Grizzlies,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,Memphis,35.1175,-89.971111111111,forward,21.6,37,15.2,18,15.9,22,0.773,99,0.596,97,0.258,0.492,0.511,5.7,2.1,0.9,0.4,0.2,1,7.8,6.6,8.8,5.8,96.5,105.6
370,Gary Payton II,Gary Payton II,1992-12-01T00:00:00Z,United States of America,North America,Seattle,47.60621,-122.33207,Gary Payton II Wizards (cropped).jpg,Golden State Warriors,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/1200px-Golden_State_Warriors_logo.svg.png,San Francisco,37.7775,-122.41638888888889,guard,30.4,7,16,12.4,12.4,3,0.667,19,0.684,9,0.444,0.679,0.682,5.7,4.3,1.1,0.9,0.6,0.6,10,6.9,11.1,7.5,139.5,103.7
